description_no,listing_id,description
49,5383192,"1909 Craftsman home with inlaid wood floors on quiet street, walk to Farmer's Market, stores, cafes, restaurants, parks, pool and gym. Short bus ride to Seattle Center and Downtown. Perfect place for a family. 1909 Craftsman with inlaid wood floors.  Fully furnished and equipped. Full-sized bed (additional cots or mattresses can be added to den). Free internet, TV with DVD player and Netflix Online. On-site laundry ($10/week for first two guests). Great for family with children.  Back patio. 94% Walkability Score. Near Crown Walk with stunning views of Puget Sound. Brief walk to weekly Farmer's Market, stores, cafes, restaurants, parks, library, community pool, weight room and gym. Nearby bus lines are 10-15 minutes to Seattle Center, downtown, SPU, Amazon, Gates Foundation.  I will not be there, but a assistance will be available. Home Manual/Neighborhood Guide provides information about safety, house perks, neighborhood resources, kid-friendly activities, etc. The top of Queen Anne h"
50,1112092,"New backyard cottage/house in best Seattle neighborhood Queen Anne on bus line 10 mins to downtown.  Safe and very walkable area with gorgeous views off every side of Queen Anne Hill.  This house was built in 2012 behind our main house.  It is a smaller house with split level, open floor plan between living room area and kitchen, dining and full bathroom with a comfortable sleeping loft.  2 options for sleeping.  In loft plenty of room for 2 twin or 1 King sleeping arrangement.  In living room area the couch opens to a queen sized bed as well.  So I say this house is for 2-4 people.  Private and full of wood and light.  Double doors open to back yard. The street view is not our street!"
51,7772661,"Charming loft-style studio in an urban garden oasis. Enjoy great views, outdoor deck & garden. Easily accessible on #1 Bus line or 5min drive to/from Seattle Center. Only 10min to/from:Downtown, Cruise Terminals, Fremont, Ballard & Lake Union. This is a detached carriage house, all yours to enjoy."
52,9254900,Adorable studio apartment in Lower Queen Anne/ Interbay with a view of the sound!  2 blocks from Whole Foods and minutes to downtown and nearby Ballard neighborhood via the Rapid Ride.  Perfect for guests that need a comfortable place in Seattle with washer and dryer and a private terrace.  Beautiful.
53,7714294,
54,10310373,"I moved into my apartment in December. It's still very simple right now (no wifi or tv) but I have a patio, a back yard and I'm a 3 minute walk from public transportation, a Whole Foods, and a 5 minute bus ride to the Space Needle/downtown Seattle."
55,9368342,
56,6361863,"Conveniently located on top of Queen Anne, you will have access to all that Seattle has to offer. Located 3 blocks from shops and restaurants and minutes to vibrant South Lake Union, Amazon, the Space Needle, Downtown, Pike Place Market, Seattle waterfront and more! Newly renovated in May 2015, this spacious 850 sq ft craftsman style apartment has bamboo flooring, glass door knobs,  wide hallways, large windows and over 8ft ceilings. With key code access to the separate entrance, you will have a spacious 850 sq ft  private apartment with the following amenities: - 1 bedroom with queen size bed furnished with down comforter and down pillows, large closet space, dresser and luggage racks - flat screen TV - sectional sofa that converts to a queen size bed - office desk & chair - 1 full bath with bathtub - hairdryer - laundry room with washer and dryer - ironing board and iron - kitchenette with microwave and refrigerator (no stove) - coffee machine - High Speed Internet (WIFI) The homeown"
57,8105221,"Make this cozy room with private bath in Queen Anne your home base for your Seattle visit. Centrally located with easy bus access, you can feel free to roam the city and then return home to enjoy a sunset from our porch overlooking Elliot Bay. The view from our apartment makes it particularly special. The Queen Anne neighborhood itself is great to explore and a fun place to go ""urban hiking"" along our staircases. If you're relaxing at home, we have a TV downstairs that you are welcome to use and we will provide coffee/tea and a light breakfast as well!  Easy access to a buses, and free parking right next to the house. You'll have the second floor which includes a closet in the room, and your own bathroom. We sleep on the third floor and only walk by on our way to the kitchen/living room, which is a shared space. We'll often be around in the evening and you are more than welcome to hang out, cook and relax downstairs. We love meeting new people and sharing our city. Feel free to ask us "
58,3269390,"    This is a detached, completely private studio cottage. It has a full travertine bathroom, washer dryer, full size kitchen appliances, miles of granite counter, work space, eating area, built in storage in closet, vaulted ceilings, queen bed.    This is a detached, completely private studio cottage. From the studs out remodel completed in 2014.  It has a full travertine bathroom, washer dryer, full size kitchen appliances, miles of granite counter, work space, eating area, built in storage in closet, vaulted ceilings, queen bed.  Free internet of course and Direct TV.  Top of Queen Anne hill.  Within half a block there is casual dining, Macrina Bakery, Bustle, Taco Shop, Targy's Bar.  Dry cleaning and Ken's Market full grocery store also a half a block away. Full sized appliances, dishes, cookware, coffee pot, blender, and spices.  Private outdoor courtyard with BBQ, eating and lounging areas.  Private entrance to yard from off street alley parking for 1 car.  Additional parking on "
59,4566393,"Highly desirable location, close to downtown, shops and restaurants.  Beautifully furnished with spectacular views of Puget Sound and Olympics. Available if needed One of the most sought after neighborhoods in Seattle.  On bus route.  Close to downtown and walking distance to restaurants, bars, coffee shops and grocery stores. Bus stop is 100 yards away."
60,9282409,"Private bedroom w/ private bath in clean and modern home with stunning views of Puget Sound. Located in charming Queen Anne neighborhood Quiet, quaint, and very walkable -- just minutes walk to numerous restaurants, bars, cafes, shopping. Several bus routes with stops just a couple blocks away. Your room - private bedroom with in-room bath The home - 2 bedroom penthouse home, open floor plan, floor to ceiling windows with stunning views of Puget Sound and the Olympic peninsula You'll have access to all of the areas of the house (with the exception of the master bedroom)"
